,humidity,precipMM,tempC,windspeedKmph,HeatIndexC
35716,33,0.0,17,5,17
35717,29,0.0,17,5,17
35718,26,0.0,18,6,18
35719,23,0.0,19,6,19
35720,20,0.0,22,6,24
35721,17,0.0,25,6,25
35722,17,0.0,27,5,26
35723,17,0.0,29,3,27
35724,16,0.0,30,2,29
35725,20,0.0,30,2,29
35726,23,0.0,30,3,28
35727,26,0.0,30,3,29
35728,30,0.0,27,3,27
35729,34,0.0,26,4,26
35730,39,0.0,24,4,24
35731,40,0.0,22,4,24
35732,40,0.0,20,5,20
35733,41,0.0,20,5,20
35734,41,0.0,19,6,19
35735,41,0.0,19,7,19
35736,41,0.0,19,8,19
35737,41,0.0,17,8,17
35738,42,0.0,16,8,16
35739,43,0.0,16,8,16
35740,42,0.0,16,9,16
35741,40,0.0,17,9,17
35742,39,0.0,17,10,17
35743,36,0.0,19,10,19
35744,33,0.0,21,10,24
35745,29,0.0,24,10,25
35746,28,0.0,26,8,26
35747,26,0.0,28,6,28
35748,25,0.0,30,4,29
35749,27,0.0,30,3,29
35750,30,0.0,30,3,29
35751,32,0.0,30,2,29
35752,38,0.0,28,6,28
35753,45,0.0,26,3,26
35754,51,0.0,24,3,25
35755,52,0.0,23,3,25
35756,53,0.0,21,3,24
35757,54,0.0,20,3,20
35758,55,0.0,19,3,19
35759,56,0.0,18,4,18
35760,56,0.0,18,4,18
35761,57,0.0,18,4,18
35762,58,0.0,18,5,18
35763,58,0.0,17,5,17
35764,55,0.0,18,6,18
35765,52,0.0,18,7,18
35766,49,0.0,19,8,19
35767,44,0.0,20,7,20
35768,38,0.0,23,6,25
35769,32,0.0,26,6,26
35770,30,0.0,28,4,28
35771,28,0.0,30,2,29
35772,26,0.0,31,1,30
35773,27,0.0,31,1,30
35774,29,0.0,31,2,30
35775,30,0.0,31,3,30
35776,37,0.0,29,3,28
35777,43,0.0,27,3,27
35778,50,0.0,25,3,26
35779,50,0.0,24,3,25
35780,50,0.0,23,3,25
35781,50,0.0,22,4,24
35782,51,0.0,21,4,24
35783,52,0.0,20,4,20
35784,53,0.0,19,4,19
35785,53,0.0,19,4,19
35786,54,0.0,18,4,18
35787,55,0.0,18,3,18
35788,51,0.0,20,4,20
35789,46,0.0,20,5,20
35790,42,0.0,21,6,21
35791,37,0.0,22,4,24
35792,32,0.0,24,2,25
35793,27,0.0,27,1,27
35794,25,0.0,29,1,28
35795,23,0.0,31,2,30
35796,21,0.0,32,3,31
35797,23,0.0,32,4,31
35798,24,0.0,32,5,30
35799,25,0.0,32,6,30
35800,31,0.0,29,5,28
35801,37,0.0,28,5,27
35802,44,0.0,25,4,26
35803,44,0.0,24,3,25
35804,45,0.0,23,3,25
35805,46,0.0,21,2,21
35806,46,0.0,21,4,21
35807,45,0.0,20,6,20
35808,45,0.0,20,7,20
35809,47,0.0,20,8,20
35810,48,0.0,20,8,20
35811,50,0.0,19,9,19
35812,48,0.0,18,9,18
35813,46,0.0,19,9,19
